American Express,American Express,340383198517962,Karly M Soria,7758,08/2016,08/2027,23,6065,27700
Master Card,Citibank,5306997581217780,Ruby Holder,84,10/2007,10/2013,4,9037,116400
Diners Club International,Diners Club,30945949913123,Omar W Hutto,568,05/2007,05/2014,12,4358,67400
Diners Club International,Diners Club,30537911733017,Joe Tanner,804,11/2011,11/2013,3,2563,121900
Visa,GE Capital,4297730994426985,Vern F Weathers,442,07/2013,07/2023,5,4815,81800
Japan Credit Bureau,JCB,3560721478483024,Tyler F Burnett,562,06/2010,06/2019,14,9335,105100
Japan Credit Bureau,JCB,3529109305559994,Colin L Halcomb,505,04/2009,04/2012,2,6328,76100
Visa,Chase,4652251681122471,Elsie A Harding,32,04/2007,04/2024,5,561,28700
American Express,American Express,372911403905506,Hal Dietz,7438,06/2013,06/2022,4,1594,39300
Visa,Citibank,4414394415916872,Craig U Parsons,822,01/2015,01/2022,11,9174,105100
Master Card,Barclays,5336698056530806,Cliff Q Carroll,120,03/2010,03/2028,11,8774,126000
Discover,Discover,6477677465448583,Melanie Dunlap,213,07/2007,07/2022,15,9828,157500
Diners Club International,Diners Club,30542332114227,Santos Hutchison,31,10/2014,10/2019,12,6483,196100
Visa,Barclays,4671469008084235,Anna J Kline,298,05/2012,05/2028,25,8945,143600
Japan Credit Bureau,JCB,3586779129236753,Lonna X Tribble,944,09/2015,09/2032,7,8654,52100
Diners Club International,Diners Club,39981360225359,Jeanette Reynolds,218,03/2009,03/2019,13,5112,111600
Visa,Bank of America,4039583165472657,Leeann M Vandiver,144,07/2007,07/2008,19,8358,43400
Master Card,Citibank,5443425704658932,Warren A Winters,159,01/2007,01/2026,11,2639,190800
American Express,American Express,375225695672782,Lupe Luther,6001,05/2011,05/2015,10,2117,50900
Visa,Chase,4673485390215367,Evelyn M Burgess,668,07/2017,07/2037,12,3594,121800
American Express,American Express,374186544968048,Roselia Doran,7477,08/2015,08/2028,2,8802,40600
Japan Credit Bureau,JCB,3584695436314418,John B Malone,399,10/2016,10/2022,16,6132,162900
Japan Credit Bureau,JCB,3539645577097567,Jimmie B Thatcher,903,07/2008,07/2016,23,9655,100400
Japan Credit Bureau,JCB,3536290402040178,Shirley Roman,400,10/2008,10/2024,28,9418,123000
Diners Club International,Diners Club,30100727523641,Nakesha E Hamlin,730,11/2007,11/2011,11,8509,15000
Visa,Chase,4587800354396000,Victor U Daniels,254,08/2008,08/2027,14,7970,162700
Master Card,Chase,5204099899892371,Stanley R Morton,151,10/2009,10/2025,17,3766,189500
Diners Club International,Diners Club,30228198091275,Martin X Powers,26,08/2009,08/2027,8,722,18400
Diners Club International,Diners Club,30231988222407,Raylene Z Boyer,531,06/2010,06/2022,4,6192,79000
American Express,American Express,340157908654228,Wendy W Hayden,9255,08/2007,08/2010,28,2640,197300
Diners Club International,Diners Club,30096934321797,Jeremiah E Brinkley,919,07/2017,07/2031,8,9102,23300
American Express,American Express,374616542205811,Alan W Wilder,1776,11/2009,11/2013,4,9169,181300
Diners Club International,Diners Club,30450093019496,Yan K Kunz,818,05/2015,05/2035,28,9984,75000
Visa,PNC,4992573212985046,Jacob X Humphrey,436,11/2008,11/2024,7,6363,133800
Visa,Chase,4344596663558223,Eilene T Curtin,288,09/2012,09/2020,8,5132,107700
Visa,First National,4377091843383874,Aaron P Mcclain,273,06/2014,06/2023,8,1979,103700
Diners Club International,Diners Club,30064555124346,Lonny Q Hooks,58,10/2017,10/2032,16,1352,17900
Discover,Discover,6011275780750537,Adam Morrow,230,02/2017,02/2033,22,5368,82100
